Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD01157,1/10/2023,CUST0102,Ballpoint Pens (Pack of 12),Office Supplies,South,2,16.18,0.1,9.78
ORD01934,1/10/2023,CUST0205,Ballpoint Pens (Pack of 12),Office Supplies,West,3,26.97,0,17.37
ORD02037,1/10/2023,CUST0041,Wireless Charging Pad,Electronics,West,5,127.46,0.15,54.96
ORD02136,1/10/2023,CUST0158,Document Folder Set,Office Supplies,East,1,16.99,0,9.99
ORD01285,1/11/2023,CUST0353,Desk Organizer Mesh,Furniture,West,1,23.74,0.05,12.24
ORD01393,1/11/2023,CUST0127,Surge Protector Power Strip,Electronics,North,3,70.17,0.1,32.67
ORD02755,1/11/2023,CUST0025,Dual Monitor Arm,Technology,South,2,161.98,0.1,57.98
ORD00811,1/12/2023,CUST0091,Whiteboard Markers,Office Supplies,East,1,11.49,0,6.99
ORD01164,1/12/2023,CUST0016,HDMI Cable 4K (6ft),Electronics,South,9,134.91,0,91.71
ORD02983,1/12/2023,CUST0102,Lumbar Support Cushion,Furniture,South,7,178.44,0.15,80.44
ORD00100,1/13/2023,CUST0132,Filing Cabinet,Furniture,South,8,1279.92,0,383.92
ORD00401,1/13/2023,CUST0371,Surge Protector Power Strip,Electronics,South,4,103.96,0,53.96
ORD00431,1/13/2023,CUST0004,A4 Printer Paper (Ream),Office Supplies,North,4,51.96,0,24.76
ORD00474,1/13/2023,CUST0240,Permanent Sticky Notes,Office Supplies,West,1,6.99,0,4.79
ORD01714,4/28/2024,CUST0336,Wireless Charging Pad,Electronics,North,1,29.99,0,15.49
ORD00821,1/13/2023,CUST0038,Whiteboard Markers,Office Supplies,East,7,72.39,0.1,40.89
ORD01679,1/13/2023,CUST0014,Mechanical Keyboard,Technology,South,2,151.98,0.05,59.98
ORD00556,1/14/2023,CUST0216,Noise-Canceling Headset,Technology,West,5,552.46,0.15,162.46
ORD01641,1/14/2023,CUST0147,Dual Monitor Arm,Technology,East,2,125.99,0.3,21.99
ORD01955,1/14/2023,CUST0350,Ballpoint Pens (Pack of 12),Office Supplies,East,3,26.97,0,17.37
ORD02429,1/14/2023,CUST0109,Wireless Laser Presenter,Electronics,South,1,21.84,0.05,12.34
ORD02506,1/14/2023,CUST0332,External SSD 1TB,Technology,West,2,239.98,0,89.98
ORD02634,1/14/2023,CUST0010,Heavy-Duty Stapler,Office Supplies,South,3,59.97,0,34.47
ORD01950,1/15/2023,CUST0079,Surge Protector Power Strip,Electronics,North,7,181.93,0,94.43
ORD02644,1/15/2023,CUST0103,Desk Organizer Mesh,Furniture,West,8,199.92,0,107.92
ORD00032,1/16/2023,CUST0358,Surge Protector Power Strip,Electronics,North,2,51.98,0,26.98
ORD00158,1/16/2023,CUST0056,Permanent Sticky Notes,Office Supplies,South,1,6.99,0,4.79
ORD00803,1/17/2023,CUST0012,Wireless Laser Presenter,Electronics,South,10,229.9,0,134.9
ORD01399,1/17/2023,CUST0041,Lumbar Support Cushion,Furniture,West,3,80.97,0.1,38.97
ORD01951,1/17/2023,CUST0065,Dual Monitor Arm,Technology,North,2,179.98,0,75.98
ORD02015,1/17/2023,CUST0002,External SSD 1TB,Technology,West,3,359.97,0,134.97
ORD02145,1/17/2023,CUST0103,Wireless Laser Presenter,Electronics,West,4,82.76,0.1,44.76
ORD02281,1/17/2023,CUST0200,Bookshelf 4-Tier,Furniture,East,1,101.99,0.15,19.99
ORD02352,1/17/2023,CUST0148,Document Folder Set,Office Supplies,East,4,67.96,0,39.96
ORD00094,1/18/2023,CUST0006,HD Webcam 1080p,Technology,North,3,179.97,0,83.97
ORD00912,1/18/2023,CUST0276,Laptop Stand,Technology,North,2,71.98,0.1,27.98
ORD00920,1/18/2023,CUST0095,Bookshelf 4-Tier,Furniture,North,2,167.99,0.3,3.99
ORD02732,1/18/2023,CUST0112,Spiral Notebooks (3-Pack),Office Supplies,East,1,14.99,0,9.19
ORD00535,1/19/2023,CUST0007,Desk Organizer Mesh,Furniture,East,4,84.97,0.15,38.97
ORD01026,1/19/2023,CUST0001,External SSD 1TB,Technology,East,2,239.98,0,89.98
ORD01308,1/19/2023,CUST0151,Laptop Stand,Technology,South,2,71.98,0.1,27.98
ORD02670,1/19/2023,CUST0002,Spiral Notebooks (3-Pack),Office Supplies,North,7,89.19,0.15,48.59
ORD00182,1/20/2023,CUST0088,Dual Monitor Arm,Technology,East,2,161.98,0.1,57.98
ORD00438,1/20/2023,CUST0373,Ballpoint Pens (Pack of 12),Office Supplies,South,4,35.96,0,23.16
ORD00720,1/20/2023,CUST0039,HDMI Cable 4K (6ft),Electronics,North,2,20.99,0.3,11.39
ORD00082,1/21/2023,CUST0154,USB-C Docking Station,Technology,East,2,299.98,0,109.98
ORD00218,1/21/2023,CUST0065,Adjustable Footrest,Furniture,South,2,59.48,0.15,23.48
ORD00953,1/21/2023,CUST0117,HD Webcam 1080p,Technology,West,2,95.98,0.2,31.98
ORD02196,1/21/2023,CUST0047,Permanent Sticky Notes,Office Supplies,South,1,6.64,0.05,4.44
ORD02209,1/22/2023,CUST0176,Noise-Canceling Headset,Technology,North,3,350.97,0.1,116.97
ORD01135,1/23/2023,CUST0016,Laptop Stand,Technology,North,3,119.97,0,53.97
ORD01248,1/23/2023,CUST0121,Adjustable Footrest,Furniture,South,1,34.99,0,16.99
ORD01084,1/24/2023,CUST0051,Laptop Stand,Technology,West,1,39.99,0,17.99
ORD01764,1/24/2023,CUST0011,Whiteboard Markers,Office Supplies,South,2,22.98,0,13.98
ORD02249,1/24/2023,CUST0176,Bookshelf 4-Tier,Furniture,South,1,119.99,0,37.99
ORD02961,1/24/2023,CUST0135,Bluetooth Speaker,Electronics,South,4,179.96,0.1,67.96
ORD01874,1/25/2023,CUST0099,Filing Cabinet,Furniture,East,1,111.99,0.3,-0.01
ORD01926,1/25/2023,CUST0098,Bluetooth Speaker,Electronics,East,3,149.97,0,65.97
ORD02099,1/25/2023,CUST0084,Desk Organizer Mesh,Furniture,South,3,74.97,0,40.47
ORD00065,1/26/2023,CUST0003,Portable Power Bank 20000mAh,Electronics,West,1,39.99,0,18.49
ORD01495,1/26/2023,CUST0268,Ergonomic Office Chair,Furniture,West,1,189.99,0.05,51.99
ORD01949,1/26/2023,CUST0293,Whiteboard Markers,Office Supplies,West,3,34.47,0,20.97
ORD00495,1/27/2023,CUST0170,Wireless Charging Pad,Electronics,West,2,53.98,0.1,24.98
ORD01542,1/27/2023,CUST0317,Ballpoint Pens (Pack of 12),Office Supplies,West,6,45.85,0.15,26.65
ORD02351,1/27/2023,CUST0346,Bookshelf 4-Tier,Furniture,West,7,797.93,0.05,223.93
ORD00908,1/28/2023,CUST0243,Dual Monitor Arm,Technology,West,4,341.96,0.05,133.96
ORD01674,1/28/2023,CUST0024,Document Folder Set,Office Supplies,North,2,32.28,0.05,18.28
ORD01777,1/28/2023,CUST0011,HDMI Cable 4K (6ft),Electronics,North,7,104.93,0,71.33
ORD02266,1/28/2023,CUST0138,Whiteboard Markers,Office Supplies,North,4,45.96,0,27.96
ORD02273,1/28/2023,CUST0064,Heavy-Duty Stapler,Office Supplies,South,3,59.97,0,34.47
ORD00950,1/29/2023,CUST0140,Dual Monitor Arm,Technology,South,3,269.97,0,113.97
ORD01852,1/29/2023,CUST0200,Adjustable Footrest,Furniture,West,1,34.99,0,16.99
ORD02588,1/29/2023,CUST0175,A4 Printer Paper (Ream),Office Supplies,North,1,12.99,0,6.19
ORD02598,1/29/2023,CUST0320,Document Folder Set,Office Supplies,North,1,16.99,0,9.99
ORD02740,1/29/2023,CUST0011,Ballpoint Pens (Pack of 12),Office Supplies,North,4,35.96,0,23.16
ORD00091,1/30/2023,CUST0100,Filing Cabinet,Furniture,North,4,639.96,0,191.96
ORD00173,1/30/2023,CUST0017,Ballpoint Pens (Pack of 12),Office Supplies,West,2,17.98,0,11.58
ORD00527,1/30/2023,CUST0286,Wireless Laser Presenter,Electronics,West,1,18.39,0.2,8.89
ORD01234,1/30/2023,CUST0014,HDMI Cable 4K (6ft),Electronics,West,1,14.99,0,10.19
ORD01597,1/30/2023,CUST0038,Document Folder Set,Office Supplies,West,1,14.44,0.15,7.44
ORD01644,1/30/2023,CUST0150,Spiral Notebooks (3-Pack),Office Supplies,East,5,74.95,0,45.95
ORD01831,1/30/2023,CUST0208,Wireless Charging Pad,Electronics,South,3,89.97,0,46.47
ORD02642,1/30/2023,CUST0032,Wireless Laser Presenter,Electronics,East,1,20.69,0.1,11.19
ORD00410,1/31/2023,CUST0049,Desk Organizer Mesh,Furniture,North,3,71.22,0.05,36.72
ORD00725,1/31/2023,CUST0341,Surge Protector Power Strip,Electronics,North,5,116.95,0.1,54.45
ORD01357,1/31/2023,CUST0012,External SSD 1TB,Technology,North,2,203.98,0.15,53.98
ORD02293,1/31/2023,CUST0122,Surge Protector Power Strip,Electronics,South,4,98.76,0.05,48.76
ORD02342,1/31/2023,CUST0174,HDMI Cable 4K (6ft),Electronics,South,3,40.47,0.1,26.07
ORD01558,2/1/2023,CUST0014,External SSD 1TB,Technology,West,1,107.99,0.1,32.99
ORD00266,2/2/2023,CUST0132,A4 Printer Paper (Ream),Office Supplies,North,1,12.99,0,6.19
ORD00688,2/2/2023,CUST0131,Wireless Laser Presenter,Electronics,East,3,65.52,0.05,37.02
ORD00772,2/2/2023,CUST0034,External SSD 1TB,Technology,South,4,479.96,0,179.96
ORD00945,2/2/2023,CUST0374,Bluetooth Speaker,Electronics,South,1,49.99,0,21.99
ORD01928,2/2/2023,CUST0010,Portable Power Bank 20000mAh,Electronics,North,2,79.98,0,36.98
ORD02407,2/2/2023,CUST0083,Spiral Notebooks (3-Pack),Office Supplies,East,2,29.98,0,18.38
ORD02512,2/2/2023,CUST0180,Bookshelf 4-Tier,Furniture,East,1,113.99,0.05,31.99
ORD00231,2/3/2023,CUST0146,Ballpoint Pens (Pack of 12),Office Supplies,South,4,34.16,0.05,21.36
ORD00376,2/3/2023,CUST0084,Lumbar Support Cushion,Furniture,North,5,149.95,0,79.95
ORD00817,2/3/2023,CUST0051,External SSD 1TB,Technology,East,4,407.97,0.15,107.97
ORD01405,2/3/2023,CUST0176,Surge Protector Power Strip,Electronics,North,2,51.98,0,26.98
ORD01409,2/3/2023,CUST0001,Dual Monitor Arm,Technology,West,2,152.98,0.15,48.98
ORD02572,2/3/2023,CUST0089,Portable Power Bank 20000mAh,Electronics,South,1,29.99,0.25,8.49
ORD00967,4/20/2024,CUST0097,HDMI Cable 4K (6ft),Electronics,East,1,14.99,0,10.19
ORD00458,2/4/2023,CUST0039,Ergonomic Office Chair,Furniture,North,1,199.99,0,61.99
ORD00871,2/4/2023,CUST0076,Lumbar Support Cushion,Furniture,West,4,113.96,0.05,57.96
ORD01514,2/4/2023,CUST0254,Wireless Charging Pad,Electronics,West,2,47.98,0.2,18.98
ORD02032,2/4/2023,CUST0036,Whiteboard Markers,Office Supplies,North,1,9.19,0.2,4.69
ORD02332,2/4/2023,CUST0346,A4 Printer Paper (Ream),Office Supplies,East,2,18.19,0.3,4.59
ORD00834,2/5/2023,CUST0004,Ballpoint Pens (Pack of 12),Office Supplies,West,1,8.54,0.05,5.34
ORD00977,2/5/2023,CUST0273,Heavy-Duty Stapler,Office Supplies,East,4,79.96,0,45.96
ORD01994,2/5/2023,CUST0310,Bookshelf 4-Tier,Furniture,South,6,503.96,0.3,11.96
ORD02916,2/5/2023,CUST0021,Portable Power Bank 20000mAh,Electronics,East,2,79.98,0,36.98
ORD00414,2/6/2023,CUST0123,Wireless Laser Presenter,Electronics,East,1,22.99,0,13.49
ORD01524,2/6/2023,CUST0052,USB-C Docking Station,Technology,East,3,449.97,0,164.97
ORD02773,2/6/2023,CUST0247,Portable Power Bank 20000mAh,Electronics,North,1,27.99,0.3,6.49
ORD01397,2/7/2023,CUST0023,HDMI Cable 4K (6ft),Electronics,East,4,53.96,0.1,34.76
ORD02090,2/7/2023,CUST0021,Ballpoint Pens (Pack of 12),Office Supplies,West,1,7.19,0.2,3.99
ORD02679,2/7/2023,CUST0001,Noise-Canceling Headset,Technology,East,3,389.97,0,155.97
ORD00279,2/8/2023,CUST0320,Noise-Canceling Headset,Technology,North,6,545.96,0.3,77.96
ORD00477,2/8/2023,CUST0016,Desk Organizer Mesh,Furniture,East,3,74.97,0,40.47
ORD00512,2/8/2023,CUST0060,Document Folder Set,Office Supplies,East,1,11.89,0.3,4.89
ORD00571,2/8/2023,CUST0006,Noise-Canceling Headset,Technology,North,1,110.49,0.15,32.49
ORD01510,2/8/2023,CUST0277,Noise-Canceling Headset,Technology,South,3,389.97,0,155.97
ORD02440,2/8/2023,CUST0001,Permanent Sticky Notes,Office Supplies,North,4,26.56,0.05,17.76
ORD01150,2/9/2023,CUST0121,Adjustable Footrest,Furniture,South,1,29.74,0.15,11.74
ORD01587,2/9/2023,CUST0079,Portable Power Bank 20000mAh,Electronics,South,5,179.96,0.1,72.46
ORD00049,2/10/2023,CUST0310,External SSD 1TB,Technology,East,2,227.98,0.05,77.98
ORD00111,2/10/2023,CUST0304,Permanent Sticky Notes,Office Supplies,North,1,5.24,0.25,3.04
ORD00194,2/10/2023,CUST0029,Filing Cabinet,Furniture,East,3,479.97,0,143.97
ORD00521,2/10/2023,CUST0280,Adjustable Footrest,Furniture,South,3,104.97,0,50.97
ORD01684,2/10/2023,CUST0009,Bookshelf 4-Tier,Furniture,North,2,239.98,0,75.98
ORD01775,2/10/2023,CUST0236,Heavy-Duty Stapler,Office Supplies,South,1,19.99,0,11.49
ORD01920,2/10/2023,CUST0011,Filing Cabinet,Furniture,South,4,607.96,0.05,159.96
ORD01973,2/10/2023,CUST0300,HD Webcam 1080p,Technology,East,2,95.98,0.2,31.98
ORD02139,2/10/2023,CUST0086,Permanent Sticky Notes,Office Supplies,South,10,66.41,0.05,44.41
ORD02237,2/10/2023,CUST0155,External SSD 1TB,Technology,North,3,323.97,0.1,98.97
ORD02330,2/10/2023,CUST0125,Spiral Notebooks (3-Pack),Office Supplies,South,2,26.98,0.1,15.38
ORD02652,2/10/2023,CUST0116,Desk Organizer Mesh,Furniture,West,3,67.47,0.1,32.97
ORD02921,2/10/2023,CUST0327,Noise-Canceling Headset,Technology,North,5,519.96,0.2,129.96
ORD02955,2/10/2023,CUST0104,Mechanical Keyboard,Technology,West,2,159.98,0,67.98
ORD02398,2/11/2023,CUST0020,Dual Monitor Arm,Technology,North,2,179.98,0,75.98
ORD02965,2/11/2023,CUST0003,Portable Power Bank 20000mAh,Electronics,East,3,119.97,0,55.47
ORD00192,2/12/2023,CUST0084,Wireless Laser Presenter,Electronics,North,3,65.52,0.05,37.02
ORD00246,2/12/2023,CUST0263,Laptop Stand,Technology,West,4,159.96,0,71.96
ORD00738,2/12/2023,CUST0147,Wireless Laser Presenter,Electronics,South,3,58.62,0.15,30.12
ORD00822,2/12/2023,CUST0007,Ballpoint Pens (Pack of 12),Office Supplies,West,2,14.38,0.2,7.98
ORD01222,2/12/2023,CUST0006,Heavy-Duty Stapler,Office Supplies,South,2,29.98,0.25,12.98
ORD02009,2/12/2023,CUST0110,Ballpoint Pens (Pack of 12),Office Supplies,West,3,26.97,0,17.37
ORD02060,2/12/2023,CUST0277,Mechanical Keyboard,Technology,East,1,79.99,0,33.99
ORD02481,2/12/2023,CUST0121,Wireless Laser Presenter,Electronics,North,2,39.08,0.15,20.08
ORD00740,2/13/2023,CUST0296,Mechanical Keyboard,Technology,South,3,227.97,0.05,89.97
ORD01130,2/13/2023,CUST0101,Wireless Laser Presenter,Electronics,North,1,20.69,0.1,11.19
ORD00222,2/14/2023,CUST0243,Wireless Charging Pad,Electronics,West,2,41.99,0.3,12.99
ORD00925,2/14/2023,CUST0004,Document Folder Set,Office Supplies,North,1,15.29,0.1,8.29
ORD00046,2/15/2023,CUST0001,Spiral Notebooks (3-Pack),Office Supplies,West,1,14.99,0,9.19
ORD00304,2/15/2023,CUST0069,External SSD 1TB,Technology,East,4,479.96,0,179.96
ORD00360,2/15/2023,CUST0254,Noise-Canceling Headset,Technology,South,1,110.49,0.15,32.49
ORD00413,2/15/2023,CUST0284,Laptop Stand,Technology,South,2,79.98,0,35.98
ORD00466,2/15/2023,CUST0032,Standing Desk Converter,Furniture,West,2,499.98,0,149.98
ORD00777,2/15/2023,CUST0186,Heavy-Duty Stapler,Office Supplies,South,5,99.95,0,57.45
ORD01268,2/15/2023,CUST0027,Dual Monitor Arm,Technology,West,1,89.99,0,37.99
ORD01368,2/15/2023,CUST0128,Heavy-Duty Stapler,Office Supplies,North,1,19.99,0,11.49
ORD01999,2/15/2023,CUST0171,Wireless Charging Pad,Electronics,East,3,89.97,0,46.47
ORD02001,2/15/2023,CUST0293,HDMI Cable 4K (6ft),Electronics,East,3,38.22,0.15,23.82
ORD02910,2/15/2023,CUST0074,Adjustable Footrest,Furniture,East,6,167.95,0.2,59.95
ORD00522,2/16/2023,CUST0001,HD Webcam 1080p,Technology,North,2,119.98,0,55.98
ORD00850,2/16/2023,CUST0141,Ergonomic Office Chair,Furniture,South,4,799.96,0,247.96
ORD01507,2/16/2023,CUST0002,A4 Printer Paper (Ream),Office Supplies,North,1,9.74,0.25,2.94
ORD01573,2/16/2023,CUST0004,HDMI Cable 4K (6ft),Electronics,West,3,38.22,0.15,23.82
ORD02689,2/16/2023,CUST0107,Filing Cabinet,Furniture,West,1,151.99,0.05,39.99
ORD02182,2/17/2023,CUST0209,A4 Printer Paper (Ream),Office Supplies,West,1,12.99,0,6.19
ORD02002,2/18/2023,CUST0037,Dual Monitor Arm,Technology,South,2,179.98,0,75.98
ORD02637,2/18/2023,CUST0070,Ergonomic Office Chair,Office Supplies ,East,4,799.96,0,247.96
ORD00668,2/20/2023,CUST0359,Laptop Stand,Technology,South,1,39.99,0,17.99
ORD00689,2/20/2023,CUST0058,Heavy-Duty Stapler,Office Supplies,North,6,107.95,0.1,56.95
ORD00709,2/20/2023,CUST0121,USB-C Docking Station,Technology,East,4,599.96,0,219.96
ORD01437,2/20/2023,CUST0250,Bookshelf 4-Tier,Furniture,South,1,119.99,0,37.99
ORD02131,2/20/2023,CUST0002,Wireless Charging Pad,Electronics,South,4,113.96,0.05,55.96
ORD02187,2/20/2023,CUST0030,Standing Desk Converter,Furniture,North,5,1249.95,0,374.95
ORD00484,2/21/2023,CUST0323,Ballpoint Pens (Pack of 12),Office Supplies,South,2,17.98,0,11.58
ORD00847,2/21/2023,CUST0314,Bluetooth Speaker,Electronics,South,1,47.49,0.05,19.49
ORD01459,2/21/2023,CUST0166,Surge Protector Power Strip,Electronics,North,5,123.45,0.05,60.95
ORD02594,2/21/2023,CUST0005,External SSD 1TB,Technology,West,6,575.95,0.2,125.95
ORD00118,2/22/2023,CUST0021,Ballpoint Pens (Pack of 12),Office Supplies,South,3,26.97,0,17.37
ORD00878,2/22/2023,CUST0008,Desk Organizer Mesh,Furniture,North,2,44.98,0.1,21.98
ORD01326,2/22/2023,CUST0164,Noise-Canceling Headset,Technology,North,1,116.99,0.1,38.99
ORD01518,2/22/2023,CUST0145,Standing Desk Converter,Furniture,West,1,212.49,0.15,37.49
ORD01740,2/22/2023,CUST0045,A4 Printer Paper (Ream),Office Supplies,South,2,24.68,0.05,11.08
ORD02100,2/22/2023,CUST0249,Whiteboard Markers,Office Supplies,East,2,21.83,0.05,12.83
ORD01088,2/23/2023,CUST0021,Permanent Sticky Notes,Office Supplies,North,2,13.28,0.05,8.88
ORD01311,2/23/2023,CUST0172,Bookshelf 4-Tier,Furniture,South,6,719.94,0,227.94
ORD02873,2/23/2023,CUST0148,Document Folder Set,Office Supplies,North,1,16.99,0,9.99
ORD01081,2/24/2023,CUST0350,Document Folder Set,Office Supplies,South,5,84.95,0,49.95
ORD01492,2/24/2023,CUST0193,Permanent Sticky Notes,Office Supplies,East,2,13.98,0,9.58
ORD01654,2/24/2023,CUST0062,Bookshelf 4-Tier,Furniture,North,1,119.99,0,37.99
ORD01855,2/24/2023,CUST0199,Ergonomic Office Chair,Furniture,West,1,199.99,0,61.99
ORD00029,2/25/2023,CUST0179,Bluetooth Speaker,Electronics,North,3,127.47,0.15,43.47
ORD00859,2/25/2023,CUST0165,Filing Cabinet,Furniture,North,3,383.98,0.2,47.98
ORD01490,2/25/2023,CUST0005,HD Webcam 1080p,Technology,North,2,101.98,0.15,37.98
ORD00294,2/26/2023,CUST0085,Whiteboard Markers,Office Supplies,East,2,20.68,0.1,11.68
ORD02272,2/26/2023,CUST0110,USB-C Docking Station,Technology,South,3,382.47,0.15,97.47
ORD02688,6/3/2024,CUST0053,USB-C Docking Station,Technology,North,1,104.99,0.3,9.99
ORD02300,2/26/2023,CUST0009,HDMI Cable 4K (6ft),Electronics,East,1,13.49,0.1,8.69
ORD00011,2/27/2023,CUST0025,Dual Monitor Arm,Technology,South,1,71.99,0.2,19.99
ORD02491,2/27/2023,CUST0062,Laptop Stand,Technology,East,3,119.97,0,53.97
ORD00036,2/28/2023,CUST0003,Lumbar Support Cushion,Furniture,East,1,28.49,0.05,14.49
ORD01532,2/28/2023,CUST0010,Laptop Stand,Technology,South,3,95.98,0.2,29.98
ORD01544,2/28/2023,CUST0252,Spiral Notebooks (3-Pack),Office Supplies,West,1,10.49,0.3,4.69
ORD02253,2/28/2023,CUST0375,Standing Desk Converter,Furniture,West,1,212.49,0.15,37.49
ORD02758,2/28/2023,CUST0016,A4 Printer Paper (Ream),Office Supplies,North,7,90.93,0,43.33
ORD00310,3/1/2023,CUST0127,Portable Power Bank 20000mAh,Electronics,East,2,79.98,0,36.98
ORD02363,3/1/2023,CUST0349,Portable Power Bank 20000mAh,Electronics,East,4,159.96,0,73.96
ORD00026,3/2/2023,CUST0025,Wireless Charging Pad,Electronics,North,1,26.99,0.1,12.49
ORD00278,3/2/2023,CUST0316,Mechanical Keyboard,Technology,North,3,191.98,0.2,53.98
ORD02569,3/2/2023,CUST0006,Heavy-Duty Stapler,Office Supplies,East,5,79.96,0.2,37.46
ORD02950,3/2/2023,CUST0316,Ballpoint Pens (Pack of 12),Office Supplies,South,1,8.54,0.05,5.34
ORD00109,3/3/2023,CUST0015,Adjustable Footrest,Furniture,West,6,209.94,0,101.94
ORD01720,3/3/2023,CUST0039,Lumbar Support Cushion,Furniture,East,1,29.99,0,15.99
ORD00468,3/4/2023,CUST0273,HDMI Cable 4K (6ft),Electronics,West,3,33.73,0.25,19.33
ORD01786,3/4/2023,CUST0142,HD Webcam 1080p,Technology,East,2,119.98,0,55.98
ORD01966,3/4/2023,CUST0211,Noise-Canceling Headset,Technology,East,1,129.99,0,51.99
ORD02528,3/4/2023,CUST0042,HDMI Cable 4K (6ft),Electronics,East,1,14.24,0.05,9.44
ORD02611,3/4/2023,CUST0157,Permanent Sticky Notes,Office Supplies,East,1,5.94,0.15,3.74
